generation,generation_best_train_mse,global_best_train_mse,mean_train_mse,validation_mse,train_validation_gap,population_diversity,gene_mean,gene_std,near_weight_boundaries_percentage,wall_seconds,cpu_seconds
1,0.25261921033488216,0.25261921033488216,0.46779475641405,0.25374785091204843,0.0011286405771662733,2.8681215143584557,-0.0010117722116318967,2.8856932581757895,9.993590451983644,20.179844900999342,209.15578936299994
2,0.25261921033488216,0.25261921033488216,0.43730137688045595,0.25374785091204843,0.0011286405771662733,2.9420808915400958,-0.004122093300998827,2.9918603212822403,14.853574980660847,19.627427526000247,208.74458808500003
3,0.25261921033488216,0.25261921033488216,0.4292588663294453,0.25374785091204843,0.0011286405771662733,2.9690955723876002,-0.007406862521322043,3.048043007297939,17.240689578959,19.765502630999435,208.6439784759998
4,0.25261921033488216,0.25261921033488216,0.4309111608839231,0.25374785091204843,0.0011286405771662733,2.9386091630686217,-0.002925093271192925,3.09564114878492,19.09006520057465,19.72365623099995,208.53713886200012
5,0.25261921033488216,0.25261921033488216,0.39945089845385945,0.25374785091204843,0.0011286405771662733,2.9272425467421406,-0.0001424739411087536,3.137118145375942,20.68571112830147,20.069004106000648,208.22634002299992
6,0.25261921033488216,0.25261921033488216,0.39858567475673673,0.25374785091204843,0.0011286405771662733,2.9441704785538962,0.005421407516653537,3.16782450639485,21.719858547905847,19.77766032100044,208.61572030199977
7,0.25261921033488216,0.25261921033488216,0.392541334055729,0.25374785091204843,0.0011286405771662733,2.9495232654945505,0.0024696826805722144,3.1934477794222293,22.555973035694553,19.28140092600006,207.96604213399996
8,0.25261921033488216,0.25261921033488216,0.403286966851227,0.25374785091204843,0.0011286405771662733,2.968409028462977,0.0007156197294038938,3.205851371609134,22.735771908498176,19.230673967999792,208.21842264399993
9,0.2482129064525346,0.2482129064525346,0.38907290053829846,0.25069436344515383,0.00248145699261923,2.9851543355381933,0.006642179131185236,3.214679765102845,22.92960548126865,19.0211703140003,208.15341851599987
10,0.2482129064525346,0.2482129064525346,0.41731468845083114,0.25069436344515383,0.00248145699261923,3.0388100490352907,-0.001566192347786223,3.2457690746162267,23.86153166095701,19.75030856400008,209.42071020999992
