generation,generation_best_train_mse,global_best_train_mse,mean_train_mse,validation_mse,train_validation_gap,population_diversity,gene_mean,gene_std,near_weight_boundaries_percentage,wall_seconds,cpu_seconds
1,0.1338777653330618,0.1338777653330618,0.442160240517515,0.13909777774692408,0.005220012413862274,2.863400242976814,0.06171415562842962,2.8814935360529974,10.027027027027028,0.14321400001063012,0.15625
2,0.1338777653330618,0.1338777653330618,0.3367263248993182,0.13909777774692408,0.005220012413862274,2.9457780072576436,0.05215025539679256,2.9875806041433086,15.324324324324323,0.11463500000536442,0.125
3,0.1095394053244348,0.1095394053244348,0.3219609666878246,0.1158567190204615,0.0063173136960266996,2.9924275544112846,0.031552757826731184,3.068255665766877,18.01801801801802,0.15301219999673776,0.171875
4,0.07638949819088524,0.07638949819088524,0.26513287519072654,0.08520915229804642,0.008819654107161179,2.994462127056748,0.057430549575248256,3.1129806868671626,19.792792792792792,0.1448798000055831,0.15625
5,0.06344095838452425,0.06344095838452425,0.27188795014793743,0.07372105536930511,0.010280096984780857,2.9026600635735704,0.11677598857848737,3.135015238226779,21.063063063063066,0.10155190000659786,0.125
6,0.06344095838452425,0.06344095838452425,0.25657768778560874,0.07372105536930511,0.010280096984780857,2.817437190347742,0.1363304680786881,3.114858587304632,21.225225225225223,0.09456110000610352,0.09375
7,0.04827448134611553,0.04827448134611553,0.23457953433705409,0.0527515562869414,0.004477074940825866,2.7192557750947466,0.24613570064538354,3.1264816840330014,21.90990990990991,0.08899459999520332,0.109375
8,0.04827448134611553,0.04827448134611553,0.19698923340092786,0.0527515562869414,0.004477074940825866,2.613071555037684,0.31051097940291206,3.126517270895591,22.07207207207207,0.08504159998847172,0.078125
9,0.04827448134611553,0.04827448134611553,0.17890857285139902,0.0527515562869414,0.004477074940825866,2.5725259284083757,0.3381545144569906,3.1300142932594297,22.117117117117115,0.0827737000072375,0.0625
10,0.04827448134611553,0.04827448134611553,0.1624160915334666,0.0527515562869414,0.004477074940825866,2.5826825688049375,0.29783884983895653,3.1441245890321485,22.0990990990991,0.08569539999007247,0.09375
11,0.028985182933179098,0.028985182933179098,0.17552451936022886,0.032769247090185756,0.003784064157006658,2.5856458810577734,0.30230773124751836,3.16601083196224,22.657657657657655,0.11242739998851903,0.109375
12,0.028985182933179098,0.028985182933179098,0.1893459336052015,0.032769247090185756,0.003784064157006658,2.613010636856943,0.30087829889836765,3.1740357277757183,22.963963963963966,0.08664689998840913,0.09375
