epoch,online_mse_mean,train_mse_after_epoch,validation_mse,train_validation_gap,wall_seconds,cpu_seconds,hidden_saturation_percentage,layer_1_weight_abs_mean,layer_1_weight_std,layer_1_delta_abs_mean,layer_1_delta_abs_max,layer_2_weight_abs_mean,layer_2_weight_std,layer_2_delta_abs_mean,layer_2_delta_abs_max
1,0.18119005580719363,0.16284642812213704,0.1679611617950573,0.0051147336729202575,3.168482869001309,5.1241424059990095,16.27951127819549,0.4980132129274812,0.5758128858906163,4.668203171660709e-05,0.0024090186800151624,0.49434245184230885,0.5646649431254478,0.000376506394109497,0.001481481447669547
2,0.16472353466835532,0.1859995626354824,0.19011984297141774,0.004120280335935339,3.3916066140009207,7.011521532000188,17.466645781119464,0.4989476400507851,0.577300357150024,4.121554714558088e-05,0.0024362570902101742,0.49913793683820407,0.5665042047352848,0.00033374813087107166,0.0014814814034134222
3,0.16125785830358985,0.1569665772219485,0.16206089649535804,0.005094319273409531,3.285211013000662,7.081986590001179,17.93924394319131,0.49981345220224277,0.5787216090938982,3.9351210483994685e-05,0.0026400698874795765,0.5024157914305124,0.5645966355125159,0.0003203924286401976,0.0014814814796041337
4,0.15863654378776829,0.15246638855390524,0.15775157806694096,0.005285189513035721,3.0375557439983822,6.700487088997761,18.706766917293233,0.5006360482250859,0.5801120751496418,3.757136287034216e-05,0.002668664246996129,0.5052263222244326,0.5641267147331318,0.00031108516725055673,0.0014814814802614992
5,0.1572673620135099,0.16340825994747343,0.1673158174479844,0.003907557500510972,3.047296037000706,6.6503517019991705,19.97748538011696,0.5014310614420363,0.5814100813430667,3.62533015966774e-05,0.002767512725920654,0.5080461308995193,0.5647216036056675,0.00030431907541586675,0.0014814814802936757
6,0.15614048667291652,0.15424373453826268,0.15834493617416895,0.004101201635906271,3.094242582001243,6.833865955999499,20.829594820384294,0.502226605430648,0.5827155044517568,3.563037685073737e-05,0.0026877156775976276,0.5111176097838543,0.5664758576737189,0.0002987725409472331,0.001481481471329949
7,0.154423509121768,0.14825969458202723,0.15270220227876877,0.004442507696741538,3.1967138970012456,6.963315930002864,21.352652464494568,0.5029650623432995,0.5839520841971787,3.48958191838447e-05,0.002880440871471894,0.5133138171815107,0.5671067824826844,0.0002911734473445995,0.001481481477605064
8,0.15439146129104434,0.1539345499214058,0.1584808999798083,0.00454635005840251,3.2110343629992713,6.956665147998137,22.079761904761906,0.5037167088725367,0.5852038432223968,3.441775052725834e-05,0.0028020004859974803,0.5158184889121714,0.5694478429766898,0.00028936543301234785,0.0014814814777421171
9,0.15307083542543845,0.1531227867017528,0.15842251224885173,0.005299725547098927,3.2058646730001783,6.951634815999569,22.805701754385964,0.5044965475131137,0.5865315113540714,3.400335118183167e-05,0.0029154642507184855,0.5167287527421249,0.5685251512831017,0.0002844260723697168,0.001481481481309842
10,0.15187988891754775,0.14759945374429295,0.1526015516168319,0.005002097872538941,3.7350100819985528,7.482594072000211,23.479469507101086,0.5052756665131088,0.5878694643696655,3.325427579137407e-05,0.0031494963266200993,0.5182676257227,0.5691231316407594,0.0002776553839325472,0.0014814814810391963
